"id","lat","lng","artdtsch","artbot","gattungdeutsch","strname","pflanzjahr","standalter","bezirk","standortnr","wassermenge","wassersumme","anzahlg"
"id-59932","51.319021995410438","12.371310380368781","Blumen-Esche","Fraxinus ornus","Fraxinus","Kochstraße",2018,3,"Südvorstadt","75692",10,45,5
"id-35106","51.354278478017768","12.414596741049342","Feld-Ahorn 'Elsrijk'","Acer campestre 'Elsrijk'","Acer","Kohlweg",2013,8,"Schönefeld-Abtnaundorf","11447",50,160,7
"1161","51.363389693292433","12.375932451298617","Feld-Ahorn ''Huibers Elegant'","Acer campestre 'Huibers Elegant'","Acer","Wilhelm-Sammet-Straße",2020,1,"Gohlis-Mitte","77011",10,10,1
"id-28718","51.337377677110190","12.398902363034376","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Breitkopfstraße",1999,22,"Reudnitz-Thonberg","21878",10,10,1
"id-636","51.305191147371644","12.267295448458645","Platane","Platanus x acerifolia","Platanus","Miltitzer Allee",2017,4,"Lausen-Grünau","49290",50,75,2
"id-13188","51.331058672336638","12.344112664213384","Hänge-Silber-Linde","Tilia tomentosa 'Petiolaris'","Tilia","Forststraße",2018,3,"Plagwitz","40346",10,30,3
"id-59913","51.317659737754227","12.371834373801862","Französischer Ahorn","Acer monspessulanum","Acer","Steinstraße",2018,3,"Südvorstadt","75764",25,65,5
"id-9007","51.326577697988881","12.342364210086050","Kegel-Linde","Tilia flavescens 'Glenleven'","Tilia","Holbeinstraße",2017,4,"Schleußig","40629",50,595,16
"id-14711","51.335138202286842","12.371547311169637","Platane","Platanus x acerifolia","Platanus","Martin-Luther-Ring",1997,24,"Zentrum-Süd","189",10,10,1
"id-31258","51.347547681767288","12.405559651649067","Chinesische Wildbirne 'Chanticleer'","Pyrus calleryana 'Chanticleer'","Pyrus","Meißner Straße",2002,19,"Neustadt-Neuschönefeld","8198",25,95,7
"id-44332","51.375376721951660","12.343772257914267","Zierkirsche","Prunus x schmittii","Prunus","Defoestraße",2013,8,"Möckern","60669",10,10,1
"id-25728","51.321783242725537","12.414801421925411","Apfel-Dorn","Crataegus x lavallei","Crataegus","Weißestraße",2012,9,"Stötteritz","25309",50,80,3
"138","51.304672293558767","12.426725612062786","Gefülltblühende Vogel-Kirsche","Prunus avium 'Plena'","Prunus","Bockstraße",2020,1,"Probstheida","26156",25,65,4
"id-29323","51.350248773652446","12.372787135921847","Platane","Platanus x acerifolia","Platanus","Pfaffendorfer Straße",2012,9,"Zentrum-Nord","13167",50,75,2
"id-31172","51.346315232427465","12.404520721964587","Gleditschie 'Sunburst'","Gleditsia triacanthos 'Sunburst'","Gleditsia","Ludwigstraße",1990,31,"Neustadt-Neuschönefeld","8437",10,10,1
"id-29838","51.343830069942634","12.400558743024165","Säulen-Dorn","Crataegus monogyna 'Stricta'","Crataegus","Elsastraße",2012,9,"Neustadt-Neuschönefeld","5340",10,35,4
"id-53072","51.342734509688754","12.375625467894873","Säulen-Eiche 'Fastigiata Koster'","Quercus robur 'Fastigiata Koster'","Quercus","Katharinenstraße",2017,4,"Zentrum","71043",25,30,2
"2004","51.323623800000000","12.322281300000000","Kirsche",NULL,NULL,NULL,2016,5,NULL,"osm_6057707003",50,70,3
