"id","lat","lng","artdtsch","artbot","gattungdeutsch","strname","pflanzjahr","standalter","bezirk","standortnr","wassermenge","wassersumme","anzahlg"
"8933","51.335898521","12.4339742351","Silber-Ahorn","Acer saccharinum","Acer","Volkshain Stünz",2018,6,"Anger-Crottendorf","G12593",300,"1200","4"
"8934","51.335989516","12.4329475612","Sand-Birke","Betula pendula","Betula","Volkshain Stünz",2020,4,"Anger-Crottendorf","G12604",300,"1200","4"
"8935","51.3359182998","12.4328949697","Feld-Ahorn","Acer campestre","Acer","Volkshain Stünz",2020,4,"Anger-Crottendorf","G12605",300,"1200","4"
"8936","51.3343950697","12.4358080008","Silber-Weide","Salix alba","Salix","Volkshain Stünz",2020,4,"Anger-Crottendorf","G12807",300,"1200","4"
"8937","51.334170009","12.4354945007","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2020,4,"Anger-Crottendorf","G12823",300,"1200","4"
"8938","51.3340618197","12.4358356483","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2020,4,"Anger-Crottendorf","G12825",300,"1200","4"
"8939","51.3342979529","12.4357061697","Flatter-Ulme","Ulmus laevis","Ulmus","Volkshain Stünz",2020,4,"Anger-Crottendorf","G12831",300,"1200","4"
"8940","51.3343235891","12.4357884442","Silber-Weide","Salix alba","Salix","Volkshain Stünz",2020,4,"Anger-Crottendorf","G12832",300,"1200","4"
"8941","51.3340257704","12.4359513731","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2020,4,"Anger-Crottendorf","G12859",300,"1200","4"
"8942","51.3356208202","12.4336885145","Schwedische Mehlbeere","Sorbus intermedia","Sorbus","Volkshain Stünz",2019,5,"Anger-Crottendorf","G12895",300,"1200","4"
"8943","51.3352262092","12.4331203026","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2016,8,"Anger-Crottendorf","G12930",300,"1200","4"
"8944","51.3350947084","12.4324882899","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2016,8,"Anger-Crottendorf","G12937",300,"1200","4"
"8945","51.3351227394","12.4323966985","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2016,8,"Anger-Crottendorf","G12954",300,"1200","4"
"8946","51.3346866445","12.4344488346","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2016,8,"Anger-Crottendorf","G12999",300,"1200","4"
"8947","51.3347698291","12.4344319845","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2016,8,"Anger-Crottendorf","G13000",300,"1200","4"
"8948","51.3348392341","12.4343814449","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2016,8,"Anger-Crottendorf","G13001",300,"1200","4"
"8949","51.3350480714","12.4338889322","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2016,8,"Anger-Crottendorf","G13035",300,"1200","4"
"8950","51.3346699287","12.433850328","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13048",300,"1200","4"
"8951","51.3347069271","12.4337451716","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13049",300,"1200","4"
"8952","51.3350761297","12.432875558","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2016,8,"Anger-Crottendorf","G13061",300,"1200","4"
"8953","51.3351045948","12.4329637046","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2016,8,"Anger-Crottendorf","G13062",300,"1200","4"
"8954","51.3351293359","12.4330501929","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2016,8,"Anger-Crottendorf","G13063",300,"1200","4"
"8955","51.3351487857","12.4331537759","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2016,8,"Anger-Crottendorf","G13064",300,"1200","4"
"8956","51.3351411999","12.4334600251","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2016,8,"Anger-Crottendorf","G13067",300,"1200","4"
"8957","51.3351357935","12.4335621254","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2016,8,"Anger-Crottendorf","G13068",300,"1200","4"
"8958","51.3346650211","12.4335772287","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13078",300,"1200","4"
"8959","51.3346290455","12.4336839073","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13079",300,"1200","4"
"8960","51.3343654423","12.4340864371","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13090",300,"1200","4"
"8961","51.33432706","12.4339807544","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13092",300,"1200","4"
"8962","51.3343074237","12.4338727325","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13093",300,"1200","4"
"8963","51.3343080484","12.4337822439","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13094",300,"1200","4"
"8964","51.3343126614","12.43366856","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13095",300,"1200","4"
"8965","51.3343186928","12.4335539354","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13096",300,"1200","4"
"8966","51.3343318771","12.4334702111","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13097",300,"1200","4"
"8967","51.3343516329","12.4333334265","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13098",300,"1200","4"
"8968","51.3344503339","12.4330520986","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13100",300,"1200","4"
"8969","51.3345010387","12.4329568009","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13101",300,"1200","4"
"8970","51.3345463606","12.4328826226","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13102",300,"1200","4"
"8971","51.3345980473","12.4328156982","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13103",300,"1200","4"
"8972","51.3346597629","12.4327549613","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13104",300,"1200","4"
"8973","51.3350782005","12.4322441218","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2016,8,"Anger-Crottendorf","G13110",300,"1200","4"
"8974","51.3350504216","12.4323390015","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2016,8,"Anger-Crottendorf","G13111",300,"1200","4"
"8975","51.3350213047","12.4324343866","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2016,8,"Anger-Crottendorf","G13112",300,"1200","4"
"8976","51.334702356","12.4325973723","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13117",300,"1200","4"
"8977","51.334627354","12.4326469351","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13118",300,"1200","4"
"8978","51.3346861624","12.4322363158","Blut-Ahorn","Acer platanoides 'Schwedleri'","Acer","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13140",300,"1200","4"
"8979","51.3346531005","12.4323076559","Blut-Ahorn","Acer platanoides 'Schwedleri'","Acer","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13141",300,"1200","4"
"8980","51.3342354064","12.4335333191","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13169",300,"1200","4"
"8981","51.3342227385","12.4336529087","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13170",300,"1200","4"
"8982","51.3342230625","12.4337743568","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13171",300,"1200","4"
"8983","51.3342296079","12.4339006262","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13172",300,"1200","4"
"8984","51.3342509423","12.43402047","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13173",300,"1200","4"
"8985","51.3342900094","12.4341368825","Rosskastanie","Aesculus hippocastanum","Aesculus","Volkshain Stünz",2017,7,"Anger-Crottendorf","G13174",300,"1200","4"
