"id","lat","lng","artdtsch","artbot","gattungdeutsch","strname","pflanzjahr","standalter","bezirk","standortnr","wassermenge","wassersumme","anzahlg"
"id-37704","51.3396150027","12.4816630341","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Opalstraße",2000,24,"Engelsdorf","19849",10,"10","1"
"3320","51.320460279","12.2768328391","Zerr-Eiche","Quercus cerris","Quercus","Kiewer Straße",2021,3,"Grünau-Nord","47460",150,"650","6"
"76750","51.3339476556","12.3277667498","Trauben-Kirsche","Prunus padus","Prunus","Henriettenpark",2002,22,"Lindenau","G1325",80,"155","2"
"id-60111","51.3128608105","12.2883270511","Platane","Platanus x acerifolia","Platanus","Ratzelstraße",2019,5,"Grünau-Siedlung","76227",100,"400","4"
"id-10211","51.3297824153","12.3684126354","Platane","Platanus x acerifolia","Platanus","Grassistraße",2006,18,"Zentrum-Süd","37006",100,"200","2"
"5385","51.3355416101","12.3410069148","Platane","Platanus x acerifolia","Platanus","Bowmanstraße",2022,2,"Lindenau","44334",175,"650","6"
"id-12585","51.3352365674","12.3318672106","Chinesische Wildbirne 'Chanticleer'","Pyrus calleryana 'Chanticleer'","Pyrus","Schadowstraße",2000,24,"Lindenau","44390",100,"700","7"
"id-60270","51.3280922042","12.2800499342","Stiel-Eiche","Quercus robur","Quercus","Lyoner Straße",2019,5,"Schönau","76354",100,"300","3"
"16754","51.3407185925","12.3136309407","Brabanter Silber-Linde","Tilia tomentosa 'Brabant'","Tilia","Merseburger Straße",2024,0,"Leutzsch","43676",10,"10","1"
"15802","51.3203438818","12.2840405451","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Heilbronner Straße",2023,1,"Grünau-Mitte","125966",150,"350","3"
"16757","51.3407914748","12.3132324933","Brabanter Silber-Linde","Tilia tomentosa 'Brabant'","Tilia","Merseburger Straße",2024,0,"Leutzsch","43679",15,"15","1"
"id-29922","51.3474827426","12.3977949475","Robinie 'Sandraudiga'","Robinia pseudoacacia 'Sandraudiga'","Robinia","Rosa-Luxemburg-Straße",2018,6,"Neustadt-Neuschönefeld","9173",20,"90","8"
"id-25298","51.3150928885","12.4201257646","Kaiser-Linde","Tilia x vulgaris 'Pallida'","Tilia","Naunhofer Straße",2014,10,"Stötteritz","24387",50,"50","1"
"id-28473","51.3342026142","12.4019278689","Gefülltblühende Rosskastanie","Aesculus hippocastanum 'Baumannii'","Aesculus","Reichpietschstraße",1999,25,"Reudnitz-Thonberg","22203",10,"180","33"
"id-12444","51.332868407","12.3336851152","Apfel-Dorn","Crataegus x lavallei","Crataegus","Aurelienstraße",2003,21,"Lindenau","44380",40,"110","3"
"16027","51.3236634573","12.2747643961","Zerr-Eiche","Quercus cerris","Quercus","Kiewer Straße",2020,4,"Schönau","47545",150,"450","4"
"id-57805","51.3258765551","12.2759574259","Feld-Ahorn 'Elsrijk'","Acer campestre 'Elsrijk'","Acer","Mühlhäuser Ring",2014,10,"Schönau","74228",30,"415","21"
"11887","51.3219553878","12.3211551753","Kultur-Birne 'Petersbirne'","Pyrus communis 'Petersbirne'","Pyrus","Gleis-Grün-Zug Bahnhof Plagwitz",2016,8,"Plagwitz","G42199",150,"500","5"
"id-59720","51.3194594891","12.2791647294","Rot-Esche","Fraxinus pennsylvanica","Fraxinus","Lützner Straße",2018,6,"Schönau","75491",250,"250","1"
"90146","51.329417997","12.3085649714","Schwedische Mehlbeere","Sorbus intermedia","Sorbus","Lindenauer Hafen",2015,9,"Schönau","G20490",50,"50","1"
"11888","51.321984313","12.321051431","Kultur-Birne 'Clapps Liebling'","Pyrus communis 'Clapps Liebling'","Pyrus","Gleis-Grün-Zug Bahnhof Plagwitz",2022,2,"Plagwitz","G42200",150,"650","6"
"90151","51.3292361377","12.3086824376","Schwedische Mehlbeere","Sorbus intermedia","Sorbus","Lindenauer Hafen",2015,9,"Schönau","G20499",50,"50","1"
"90158","51.329203284","12.3082667329","Schwedische Mehlbeere","Sorbus intermedia","Sorbus","Lindenauer Hafen",2015,9,"Schönau","G20508",50,"100","2"
"90155","51.329175239","12.3085764654","Schwedische Mehlbeere","Sorbus intermedia","Sorbus","Lindenauer Hafen",2015,9,"Schönau","G20503",50,"90","2"
"52531","51.3062774143","12.3995217223","Spitz-Ahorn","Acer platanoides","Acer","An der Märchenwiese (östlicher Teil)",2024,0,"Marienbrunn","G25671",40,"80","3"
"14732","51.3336166821","12.3274796089","Pflaumenblättriger Weißdorn 'Splendens'","Crataegus persimilis 'Splendens'","Crataegus","Henriettenpark",2018,6,"Lindenau","G15867",75,"100","2"
"16220","51.3398918863","12.3335815515","Säulen-Eiche 'Fastigiata Koster'","Quercus robur 'Fastigiata Koster'","Quercus","Mühligstraße",2023,1,"Altlindenau","133597",15,"45","3"
"id-2663","51.321749403","12.2559521355","Winter-Linde 'Rancho'","Tilia cordata 'Rancho'","Tilia","Geschwister-Scholl-Straße",2010,14,"Miltitz","52084",50,"130","3"
"id-28475","51.3341492805","12.4022278041","Berg-Ahorn","Acer pseudoplatanus","Acer","Reichpietschstraße",1960,64,"Reudnitz-Thonberg","22205",10,"170","31"
"id-59872","51.335962872","12.361229252","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Hillerstraße",2018,6,"Zentrum-West","75684",70,"480","7"
"id-48597","51.3946881886","12.3818653717","Säulen-Eiche 'Fastigiata Koster'","Quercus robur 'Fastigiata Koster'","Quercus","Seehausener Straße",2016,8,"Wiederitzsch","65751",40,"40","1"
"16219","51.3398443116","12.3333793345","Säulen-Eiche 'Fastigiata Koster'","Quercus robur 'Fastigiata Koster'","Quercus","Mühligstraße",2023,1,"Altlindenau","133598",15,"45","3"
"id-60110","51.3128986129","12.2885184216","Platane","Platanus x acerifolia","Platanus","Ratzelstraße",2019,5,"Grünau-Siedlung","76226",100,"400","4"
"id-4948","51.3223241507","12.2757505931","Straßen-Esche","Fraxinus excelsior 'Westhof´s Glorie'","Fraxinus","Kiewer Straße",1999,25,"Schönau","47476",250,"250","1"
"id-10243","51.3296158415","12.3684844838","Platane","Platanus x acerifolia","Platanus","Grassistraße",1999,25,"Zentrum-Süd","37008",100,"200","2"
"15807","51.319427385","12.2842991952","Stiel-Eiche","Quercus robur","Quercus","Heilbronner Straße",2023,1,"Grünau-Mitte","125971",100,"300","3"
"id-57973","51.3233515379","12.3236630653","Feld-Ahorn","Acer campestre","Acer","Weg 5202",2013,11,"Plagwitz","73661",100,"675","9"
"15800","51.3205413208","12.2840987565","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Heilbronner Straße",2023,1,"Grünau-Mitte","125964",150,"350","3"
"id-60303","51.3272131636","12.276373888","Stiel-Eiche","Quercus robur","Quercus","Lyoner Straße",2019,5,"Schönau","76331",100,"600","6"
"15970","51.3459031016","12.3150902202","Säulen-Eiche","Quercus robur 'Fastigiata'","Quercus","Benediktusstraße",2020,4,"Leutzsch","76981",50,"285","15"
"17185","51.28485","12.3364","Gemeine Esche","Fraxinus excelsior","Fraxinus","Lauerscher Weg",2024,0,"Großzschocher","osm_cossi_3",80,"1265","16"
"id-59544","51.3153575592","12.3001715631","Kiefer","Pinus species","Pinus","Ringstraße",2000,24,"Grünau-Mitte","75126",120,"1830","19"
"id-60114","51.3120289204","12.2841101024","Platane","Platanus x acerifolia","Platanus","Ratzelstraße",2019,5,"Grünau-Siedlung","76230",100,"500","5"
"id-60000","51.3166381356","12.2644196641","Herbst-Flammen-Ahorn","Acer x  freemanii 'Autumn Blaze'","Acer","Lützner Straße",2018,6,"Grünau-Nord","75490",250,"250","1"
"id-19330","51.3059728551","12.3748170616","Amur-Traubenkirsche  'Amber Beauty'","Prunus maackii 'Amber Beauty'","Prunus","Hermannstraße",2017,7,"Connewitz","33517",10,"10","1"
"5948","51.3349420713","12.357323187","Säulen-Eiche","Quercus robur 'Fastigiata'","Quercus","Sebastian-Bach-Straße",2023,1,"Zentrum-West","38610",5,"5","1"
"94862","51.3217399292","12.3209683569","Haus-Pflaume 'Bühler Frühzwetschge'","Prunus domestica 'Bühler Frühzwetschge'","Prunus","Gleis-Grün-Zug Bahnhof Plagwitz",2016,8,"Plagwitz","G42194",150,"500","5"
"90376","51.3249172745","12.290541284","Stiel-Eiche","Quercus robur","Quercus","WG Grünau WK 5.1-Garskestraße/Lützner Straße/Schönauer Straße",2020,4,"Schönau","45836",100,"200","2"
"7813","51.3338279528","12.4023303989","Kolchischer Ahorn 'Rubrum'","Acer cappadocicum 'Rubrum'","Acer","Lene-Voigt-Park",2015,9,"Reudnitz-Thonberg","G32620",10,"155","29"
"id-59947","51.3328011083","12.3533370634","Säulen-Eiche","Quercus robur 'Fastigiata'","Quercus","Sebastian-Bach-Straße",2018,6,"Zentrum-West","75763",20,"20","1"
"11874","51.3229242474","12.3217608658","Silber-Linde","Tilia tomentosa","Tilia","Gleis-Grün-Zug Bahnhof Plagwitz",2016,8,"Plagwitz","G42165",50,"100","2"
